Product,Test,Receiver,Receiver_ID,POS_File,Exists,Bytes,Parse_Status,Raw_N,Clean_N,Outlier_N,Outlier_pct,Solution_Status,Status_Reason,Contamination_Class,Filter_Method,RAW_RMSE_2D_m,RAW_RMSE_3D_m,CLEAN_RMSE_2D_m,CLEAN_RMSE_3D_m
GRG,Test-2,XIAOMI-1,T12,C:\IEEE\RTKLIB_DATA\GRG\T12.pos,True,461810,OK,3156,1940,1216.0,38.5297845373891,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,7.524397776531737,7.638892661528699,7.3708688135404135,7.418999794283496
GRG,Test-2,XIAOMI-2,T22,C:\IEEE\RTKLIB_DATA\GRG\T22.pos,True,544154,OK,3720,2388,1332.0,35.806451612903224,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,6.238458277392823,6.307061219074664,6.225079936804047,6.289136637319015
GRG,Test-3,CHC I80,C3,C:\IEEE\RTKLIB_DATA\GRG\CHC3.pos,True,535403,OK,3660,3660,0.0,0.0,USABLE,MEETS_SOLUTION_QC,LOW,MCD_CHI2_99.73,0.12504519477556522,0.13097990222588007,0.12504519477556522,0.13097990222588007
GRG,Test-3,TRIMBLE OEM MB2,OEM3,C:\IEEE\RTKLIB_DATA\GRG\OEM3.pos,True,466053,OK,3185,2514,671.0,21.067503924646783,USABLE,MEETS_SOLUTION_QC,MODERATE,MCD_CHI2_99.73,0.03278983305234473,0.1067740832766879,0.03479416614473709,0.09849359738271322
GRG,Test-3,XIAOMI-1,T13,C:\IEEE\RTKLIB_DATA\GRG\T13.pos,True,534518,OK,3654,2227,1427.0,39.05309250136836,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,4.2989598042366035,4.4423886288467385,3.402341396983205,3.5776217263486427
GRG,Test-3,XIAOMI-2,T23,C:\IEEE\RTKLIB_DATA\GRG\T23.pos,True,534664,OK,3655,2401,1254.0,34.309165526675784,USABLE,MEETS_SOLUTION_QC,MODERATE,MCD_CHI2_99.73,1.4773874104198077,3.9063087820451203,1.4483346884880828,3.9329870965799607
IGS,Test-1,CHC I80,C1,C:\IEEE\RTKLIB_DATA\IGS\CHC1.pos,True,817613,OK,5593,5522,71.0,1.2694439477918826,USABLE,MEETS_SOLUTION_QC,LOW,MCD_CHI2_99.73,0.24597596082131243,0.44216079521175855,0.24578939800997804,0.44198460615890917
IGS,Test-1,TRIMBLE OEM MB2,OEM1,C:\IEEE\RTKLIB_DATA\IGS\OEM1.pos,True,1035,EMPTY_OR_UNPARSEABLE,0,0,,,FAILED,EMPTY_OR_UNPARSEABLE,NOT_APPLICABLE,,,,,
IGS,Test-1,XIAOMI-1,T11,C:\IEEE\RTKLIB_DATA\IGS\T11.pos,True,756138,OK,5172,2702,2470.0,47.75715390564579,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,6.010109378579041,7.043454435363723,5.7124348841016745,6.4387337452559805
IGS,Test-1,XIAOMI-2,T21,C:\IEEE\RTKLIB_DATA\IGS\T21.pos,True,771322,OK,5276,3021,2255.0,42.7407126611069,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,6.679209126721691,6.890392042686393,6.664140883843854,6.698149501250398
IGS,Test-2,CHC I80,C2,C:\IEEE\RTKLIB_DATA\IGS\CHC2.pos,True,759213,OK,5193,4028,1165.0,22.434045830926248,USABLE,MEETS_SOLUTION_QC,MODERATE,MCD_CHI2_99.73,0.06192977952132442,0.11291843826058306,0.06280496511306498,0.11391400439650538
IGS,Test-2,TRIMBLE OEM MB2,OEM2,C:\IEEE\RTKLIB_DATA\IGS\OEM2.pos,True,4247,OK,22,22,0.0,0.0,FAILED,INSUFFICIENT_CLEAN_EPOCHS,NOT_APPLICABLE,NONE_SMALL_SAMPLE,4.419578705066596,5.030296577634181,4.419578705066596,5.030296577634181
IGS,Test-2,XIAOMI-1,T12,C:\IEEE\RTKLIB_DATA\IGS\T12.pos,True,462386,OK,3160,1941,1219.0,38.575949367088604,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,7.598625022617329,7.705195811614321,7.441894779946326,7.490300572129972
IGS,Test-2,XIAOMI-2,T22,C:\IEEE\RTKLIB_DATA\IGS\T22.pos,True,544146,OK,3720,2395,1325.0,35.61827956989247,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,6.29566009382522,6.380405948731194,6.282774252009807,6.363227941548905
IGS,Test-3,CHC I80,C3,C:\IEEE\RTKLIB_DATA\IGS\CHC3.pos,True,535395,OK,3660,2987,673.0,18.387978142076502,USABLE,MEETS_SOLUTION_QC,LOW,MCD_CHI2_99.73,0.3250637060695224,0.3254879026580663,0.3257518807945317,0.32603848361814936
IGS,Test-3,TRIMBLE OEM MB2,OEM3,C:\IEEE\RTKLIB_DATA\IGS\OEM3.pos,True,332017,OK,2267,1501,766.0,33.78914865460962,USABLE,MEETS_SOLUTION_QC,MODERATE,MCD_CHI2_99.73,0.9031307030687494,1.2259199461574384,0.866744157574069,1.2132273789781056
IGS,Test-3,XIAOMI-1,T13,C:\IEEE\RTKLIB_DATA\IGS\T13.pos,True,534510,OK,3654,2227,1427.0,39.05309250136836,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,4.293451819124719,4.432154321575341,3.400937870381955,3.5652799201945573
IGS,Test-3,XIAOMI-2,T23,C:\IEEE\RTKLIB_DATA\IGS\T23.pos,True,534656,OK,3655,2468,1187.0,32.47606019151847,USABLE,MEETS_SOLUTION_QC,MODERATE,MCD_CHI2_99.73,1.4570933525872782,4.055238222808647,1.426788662874849,4.084660037122535
JAX,Test-1,CHC I80,C1,C:\IEEE\RTKLIB_DATA\JAX\CHC1.pos,True,818789,OK,5601,3370,2231.0,39.832172826281024,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,0.6158531563219521,2.5923142435084605,0.6135558227178313,2.5888413793074316
JAX,Test-1,TRIMBLE OEM MB2,OEM1,C:\IEEE\RTKLIB_DATA\JAX\OEM1.pos,True,1043,EMPTY_OR_UNPARSEABLE,0,0,,,FAILED,EMPTY_OR_UNPARSEABLE,NOT_APPLICABLE,,,,,
JAX,Test-1,XIAOMI-1,T11,C:\IEEE\RTKLIB_DATA\JAX\T11.pos,True,769578,OK,5264,3385,1879.0,35.69528875379939,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,8.908241528263536,9.34890353670856,8.844039751719462,9.399863803118967
JAX,Test-1,XIAOMI-2,T21,C:\IEEE\RTKLIB_DATA\JAX\T21.pos,True,771914,OK,5280,3492,1788.0,33.86363636363637,USABLE,MEETS_SOLUTION_QC,MODERATE,MCD_CHI2_99.73,7.811504226376538,8.085931973761639,7.8159143170448875,8.045201529054811
JAX,Test-2,CHC I80,C2,C:\IEEE\RTKLIB_DATA\JAX\CHC2.pos,True,759221,OK,5193,2928,2265.0,43.616406701328714,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,0.22083626031242987,0.6407849042365542,0.22445825978291373,0.6536010795753224
JAX,Test-2,TRIMBLE OEM MB2,OEM2,C:\IEEE\RTKLIB_DATA\JAX\OEM2.pos,True,521679,OK,3566,2240,1326.0,37.184520471116095,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,0.48912104641842813,0.8656985940281363,0.49376547804123044,0.8638218784533367
JAX,Test-2,XIAOMI-1,T12,C:\IEEE\RTKLIB_DATA\JAX\T12.pos,True,544446,OK,3722,2511,1211.0,32.53627082213863,USABLE,MEETS_SOLUTION_QC,MODERATE,MCD_CHI2_99.73,6.9270492507918995,13.950442119701393,6.726344064294904,11.909494642566946
JAX,Test-2,XIAOMI-2,T22,C:\IEEE\RTKLIB_DATA\JAX\T22.pos,True,544154,OK,3720,2373,1347.0,36.20967741935484,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,6.797975481593626,7.718164440812325,6.7895034582794604,7.720121020078524
