Source_Block,Test,Receiver,Receiver_ID,Receiver_Class,RINEX_File,Epoch_N,Expected_Epoch_N,Duration_min,Header_Interval_s,Median_dt_s,Nominal_Interval_s,Epoch_Retention_pct,PhaseJump_Flag_N,Final_Phase_Transitions_N,PhaseJump_Rate_per1000,PhaseDiscontinuities_per_hour,Transitions_per_second_of_session,Interval_Match_1s,Header_vs_Empirical,Dataset_N,Median_dt_1s_N,Nominal_interval_1s_N,Header_interval_present_N,Header_interval_missing_N,All_empirically_1s,All_nominally_1s,Min_retention_pct,Max_retention_pct,Low_retention_dataset,Scope,Method,Statistic,Outcome,N,Spearman_rho,p_value,Spearman_rho_vs_MedianArc,Claim_ID,Evidence_Role,Metric,Predictor,Population,Adjustment,Statistical_Test,Rho,P,Q,Permutation_N,Source_CSV,Source_Row,Manuscript_Role,Lock_Status,LOTO_Rho_Min,LOTO_Rho_Max,Direction_Preserved_Count,Direction_Total
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,QUADRATIC,RobustSigma_m,Median_RMSE2D_m,11.0,0.7000000000000001,0.0164709788365144,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,QUADRATIC,RobustSigma_m,Median_RMSE3D_m,11.0,0.7545454545454545,0.0072820410084291,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,QUADRATIC,RobustSigma_m,RMSE2D_Product_Range_m,11.0,0.6727272727272727,0.0233130398331859,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,QUADRATIC,P95Abs_m,Median_RMSE2D_m,11.0,0.5909090909090909,0.0555756042887746,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,QUADRATIC,P95Abs_m,Median_RMSE3D_m,11.0,0.6272727272727273,0.0388452536203533,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,QUADRATIC,P95Abs_m,RMSE2D_Product_Range_m,11.0,0.5909090909090909,0.0555756042887746,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,CURRENT,RobustSigma_m,Median_RMSE2D_m,6.0,0.4285714285714286,0.3965014577259473,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,CURRENT,RobustSigma_m,Median_RMSE3D_m,6.0,0.2571428571428572,0.6227871720116618,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,CURRENT,RobustSigma_m,RMSE2D_Product_Range_m,6.0,-0.0857142857142857,0.8717434402332361,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,CURRENT,P95Abs_m,Median_RMSE2D_m,6.0,0.4285714285714286,0.3965014577259473,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,CURRENT,P95Abs_m,Median_RMSE3D_m,6.0,0.2571428571428572,0.6227871720116618,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,CURRENT,P95Abs_m,RMSE2D_Product_Range_m,6.0,-0.0857142857142857,0.8717434402332361,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,FIXED300,RobustSigma_m,Median_RMSE2D_m,6.0,0.3142857142857143,0.5440932944606414,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,FIXED300,RobustSigma_m,Median_RMSE3D_m,6.0,0.1428571428571428,0.7871720116618075,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,FIXED300,RobustSigma_m,RMSE2D_Product_Range_m,6.0,0.1428571428571428,0.7871720116618075,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,FIXED300,P95Abs_m,Median_RMSE2D_m,6.0,-0.2,0.704,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,FIXED300,P95Abs_m,Median_RMSE3D_m,6.0,-0.3714285714285715,0.4684781341107871,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,FIXED300,P95Abs_m,RMSE2D_Product_Range_m,6.0,-0.5428571428571429,0.2657026239067055,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,LINEAR,RobustSigma_m,Median_RMSE2D_m,6.0,-0.3714285714285715,0.4684781341107871,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,LINEAR,RobustSigma_m,Median_RMSE3D_m,6.0,-0.2,0.704,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,LINEAR,RobustSigma_m,RMSE2D_Product_Range_m,6.0,-0.7142857142857143,0.1107871720116617,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,LINEAR,P95Abs_m,Median_RMSE2D_m,6.0,-0.4285714285714286,0.3965014577259473,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,LINEAR,P95Abs_m,Median_RMSE3D_m,6.0,-0.3714285714285715,0.4684781341107871,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,LINEAR,P95Abs_m,RMSE2D_Product_Range_m,6.0,-0.942857142857143,0.004804664723032,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,QUADRATIC,RobustSigma_m,Median_RMSE2D_m,6.0,0.2,0.704,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,QUADRATIC,RobustSigma_m,Median_RMSE3D_m,6.0,0.2571428571428572,0.6227871720116618,,,,,,,,,,,,,,,,,,,,
